"CodPar","CodIns","CanIns","Desper","Contad"
"ARB001","ACE631","0,05","5","2455"
"ARB001","ARB003","1","5","2456"
"ARB001","ARB020","0,25","5","2457"
"ARB001","ARB029","1","5","2458"
"ARB001","ARB050","0,05","5","2459"
"ARB001","ESP039","2","10","2460"
"ARB002","ARB001","1","5","2461"
"ARB002","ARB050","0,2","5","2462"
"ARB003","ARB011","0,1","5","2463"
"ARB004","ARB011","0,05","5","2464"
"ARB004","ESP050","0,1","0","2465"
"ARB005","ARB011","0,6","5","2466"
"ARB005","ESP050","0,4","0","2467"
"ARB006","ARB011","0,7","5","2468"
"ARB007","ARB011","1","5","2469"
"ARB010","ARB005","3","0","2470"
"ARB011","ARB005","4","0","2471"
"ARB013","ARB005","3","0","2472"
"ARB015","ARB005","3","0","2473"
"ARB016","AGR001","0,05","5","2474"
"ARB016","MT1835","1","0","2475"
"ARB016","MT558","0,1","5","2476"
"ARB016","MT9032","1","0","2477"
"ARB017","AGR001","0,05","5","2478"
"ARB017","MT1832","1","0","2479"
"ARB017","MT558","0,1","5","2480"
"ARB017","MT9032","1","0","2481"
"ARB018","AGR001","0,05","5","2482"
"ARB018","MT1836","1","0","2483"
"ARB018","MT558","0,2","5","2484"
"ARB018","MT9032","1","0","2485"
"ARB019","ARB013","2","0","2486"
"ARB019","ARB019","1","0","2487"
"ARB019","ARB050","0,1","5","2488"
"ARB020","ARB051","1","5","2489"
"ARB020","REC050","0,02","5","2490"
"ARB021","MT1835","1","0","2491"
"ARB021","MT558","0,1","5","2492"
"ARB021","MT9032","1","0","2493"
"ARB021","VAL046","1","0","2494"
"ARB022","AGR001","0,05","5","2495"
"ARB022","MT1832","1","0","2496"
"ARB022","MT558","0,1","5","2497"
"ARB022","MT9032","1","0","2498"
"ARB022","VAL013","1","0","2499"
"ARB023","MT1836","1","0","2500"
"ARB023","MT558","0,2","5","2501"
"ARB023","MT9032","1","0","2502"
"ARB023","VAL046","1","0","2503"
"ARB024","ACE041","2","5","2504"
"ARB024","ENC001","0,07","10","2505"
"ARB025","AGR001","0,5","5","2506"
"ARB025","MT558","1","5","2507"
"ARB026","AGR001","1","5","2508"
"ARB026","MT558","1,5","5","2509"
"ARB027","AGR001","1","5","2510"
"ARB027","MT558","2","5","2511"
"ARB028","ACE003","5","5","2512"
"ARB028","AGR001","1","5","2513"
"ARB028","MT558","1,5","5","2514"
"ARB028","PIN095","6","5","2515"
"ARB028","QUI011","15","5","2516"
"ARB029","ACE003","2","5","2517"
"ARB029","AGR001","0,5","5","2518"
"ARB029","MT558","1","5","2519"
"ARB029","PIN095","4","5","2520"
"ARB029","QUI011","10","5","2521"
"ARB031","AGR003","0,1","0","2522"
"ARB032","AGR003","0,1","0","2523"
"ARB032","MT558","0,07","5","2524"
"ARB033","AGR003","0,2","0","2525"
"ARB033","ARB021","0,2","5","2526"
"ARB033","MT558","0,05","5","2527"
"B01001","HER077","0,02","5","2528"
"B01002","HER077","0,15","5","2529"
"B01003","HER001","0,001","2","2530"
"B01003","HER008","0,001","2","2531"
"B01009","HER001","0,001","2","2532"
"B01009","HER008","0,001","2","2533"
"B01016","PIN001","0,05","5","2534"
"B01016","PIN212","0,1","5","2535"
"B01019","MT3029","4","0","2536"
"B01019","MT947","0,001","0","2537"
"B01026","HER001","0,05","2","2538"
"B01026","HER008","0,05","2","2539"
"B01028","ACA075","0,01","5","2540"
"B01028","HER001","0,001","2","2541"
"B01028","HER008","0,001","2","2542"
"B01039","HER001","0,01","2","2543"
"B01039","HER008","0,01","2","2544"
"B01039","HER058","0,001","0","2545"
"B01041","HER001","0,001","2","2546"
"B01041","HER008","0,001","2","2547"
"B01045","HER001","0,01","2","2548"
"B01045","HER008","0,01","2","2549"
"B01065","HER001","0,01","2","2550"
"B01065","HER008","0,01","2","2551"
"B01085","ELE282","1","0","2552"
"B01091","PIN106","0,01","5","2553"
"B01101","ACE076","1","5","2554"
"B01101","PIN018","0,01","5","2555"
"B01103","ELE282","1","0","2556"
"B02002","ACA148","0,1","5","2557"
"B02002","AGR001","0,007","5","2558"
"B02002","AGR002","0,01","5","2559"
"B02002","CEM041","0,17","5","2560"
"B02002","VAL006","0,17","0","2561"
"B02002","VAL021","0,01","0","2562"
"B02003","ACE022","12,5","5","2563"
"B02003","CON040","0,2","2","2564"
"B02003","ENC009","0,01","5","2565"
"B02003","VAL009","12,5","0","2566"
"B02003","VAL010","0,2","0","2567"
"B02004","ACE022","1","5","2568"
"B02004","ACE631","0,02","5","2569"
"B02005","CON004","1","2","2570"
"B02006","CON004","1","2","2571"
"B02006","VAL060","1","0","2572"
"B02007","ACE026","1","5","2573"
"B02007","AGR001","0,01","5","2574"
"B02007","AGR015","0,09","5","2575"
"B02007","AGR018","0,044","5","2576"
"B02007","CEM041","0,8","5","2577"
"B02007","VAL006","0,8","0","2578"
"B02007","VAL021","0,134","0","2579"
"B02008","ACE026","1,98","5","2580"
"B02008","AGR001","0,03","5","2581"
"B02008","AGR015","0,12","5","2582"
"B02008","AGR018","0,07","5","2583"
"B02008","CEM041","1","5","2584"
"B02008","VAL006","1,05","0","2585"
"B02008","VAL021","0,19","0","2586"
"B02009","C-0028","0,06","3","2587"
"B02009","VAL053","0,06","0","2588"
"B02010","ACE026","2","5","2589"
"B02010","AGR001","0,01","5","2590"
"B02010","AGR015","0,09","5","2591"
"B02010","AGR018","0,044","5","2592"
"B02010","CEM041","0,8","5","2593"
"B02010","VAL006","0,8","0","2594"
"B02010","VAL021","0,134","0","2595"
"B02011","AGR001","0,005","5","2596"
"B02011","AGR015","0,03","5","2597"
"B02011","AGR018","0,0133","5","2598"
"B02011","CEM041","0,24","5","2599"
"B02011","ENC009","0,3","5","2600"
"B02012","ACE643","0,1131","5","2601"
"B02012","COM003","0,1","5","2602"
"B02012","ENC051","0,007","10","2603"
"B02012","ENC052","0,0035","10","2604"
"B02013","ACE041","0,25","5","2605"
"B02013","ACE643","0,25","5","2606"
"B02013","COM003","0,1","5","2607"
"B02013","ENC006","0,001","10","2608"
"B02013","ENC007","0,01","10","2609"
"B02014","BAS006","1","5","2610"
"B02016","BAS014","1","5","2611"
"B02016","VAL108","50","0","2612"
"B02017","AGR015","1","5","2613"
"B03001","CON022","0,02","5","2614"
"B03002","ACE472","0,001","0","2615"
"B03002","HER001","0,002","2","2616"
"B03002","HER003","0,006","5","2617"
"B03002","HER008","0,02","2","2618"
"B03002","MT1863","48","3","2619"
"B03003","ACE060","6","2","2620"
"B03003","ACE101","6","2","2621"
"B03003","ACE142","6","5","2622"
"B03003","HER008","0,1","2","2623"
"B03003","HER039","0,1","0","2624"
"B03004","ACE026","1","5","2625"
"B03004","ACE052","3","3","2626"
"B03004","HER001","0,007","2","2627"
"B03004","HER003","0,1","5","2628"
"B03004","HER008","0,007","2","2629"
"B03004","PIN081","0,07","5","2630"
"B03005","ACE207","25,2","3","2631"
"B03005","HER001","0,007","2","2632"
"B03005","HER003","0,1","5","2633"
"B03005","HER008","0,007","2","2634"
"B03005","VAL103","25,2","0","2635"
"B03006","ACE237","1","4","2636"
"B03006","HER001","0,06","2","2637"
"B03006","HER003","0,018","5","2638"
"B03006","HER008","0,05","2","2639"
"B03007","ACE062","1","5","2640"
"B03007","ACE631","0,01","5","2641"
"B03007","VAL131","1,98","0","2642"
"B03008","ACE686","71","3","2643"
"B03008","HER001","0,16","2","2644"
"B03008","HER003","9","5","2645"
"B03008","HER008","0,3","2","2646"
"B03008","VAL103","71","0","2647"
"B03009","ACE124","4","5","2648"
"B03009","CON023","0,01","5","2649"
"B03009","MT125","1","0","2650"
"B03010","ACE195","93,6","3","2651"
"B03010","ACE443","20","3","2652"
"B03010","HER001","0,5","2","2653"
"B03010","HER003","15","5","2654"
"B03010","HER008","0,3","2","2655"
"B03011","ACA142","1","5","2656"
"B03011","ACE035","14,4","5","2657"
"B03011","ACE057","1","5","2658"
"B03011","ACE414","0,5","5","2659"
"B03011","HER001","0,01","2","2660"
"B03011","HER003","1","5","2661"
"B03011","HER008","0,1","2","2662"
"B03012","ACE642","4","0","2663"
"B03012","ESP117","1","0","2664"
"B03013","ESP118","1","0","2665"
"B03014","ACE070","1","5","2666"
"B03014","VAL012","1","0","2667"
"B03015","ACE223","8","5","2668"
"B03015","HER001","0,2","2","2669"
"B03015","HER008","0,32","2","2670"
"B03015","HER071","1","5","2671"
"B03015","HER078","3,5","5","2672"
"B03015","HER079","1,25","5","2673"
"B03015","HER080","4,9","5","2674"
"B03015","PIN223","1","5","2675"
"B03016","LAM083","1","3","2676"
"B03016","PLOB08","0,2","2","2677"
"B03016","PLOB09","0,3","2","2678"
"B03016","PLOB10","0,15","5","2679"
"B03016","VAL159","1","0","2680"
"B03017","ACE642","4","0","2681"
"B03017","ESP119","1","0","2682"
"B03018","ACE073","1","3","2683"
"B03018","HER001","0,08","2","2684"
"B03018","HER008","0,1","2","2685"
"B03018","HER071","0,02","5","2686"
"B03019","ACE207","28,5","3","2687"
"B03019","ACE687","93,2","3","2688"
"B03019","HER071","2","5","2689"
"B03019","HER078","6,66","5","2690"
"B03019","HER079","2,5","5","2691"
"B03019","HER080","9,1","5","2692"
"B03019","HER081","0,2","0","2693"
"B03019","PIN223","1","5","2694"
"B03020","ACE070","1","5","2695"
"B03020","C-0030","0,003","3","2696"
"B03020","ENC059","1","0","2697"
"B03020","VAL012","1","0","2698"
"B03021","C-0030","0,0045","3","2699"
"B03021","ENC054","0,2","5","2700"
"B03021","HER105","1","5","2701"
"B03021","VAL012","1","0","2702"
"B03022","ESP120","1","0","2703"
"B03023","ESP121","1","0","2704"
"B03023","VAL057","1","0","2705"
"B03024","HER082","1","0","2706"
"B03024","PIN037","1","5","2707"
"B03025","ACE035","14,4","5","2708"
"B03025","HER001","0,16","2","2709"
"B03025","HER008","0,32","2","2710"
"B03025","HER071","1","5","2711"
"B03026","HER083","1","0","2712"
"B03027","HER083","1","0","2713"
"B03027","VAL057","1","0","2714"
"B03028","HER084","1","0","2715"
"B03029","ESP122","1","0","2716"
"B03029","MEC215","1","5","2717"
"B03030","ESP123","1","0","2718"
"B03030","VAL208","1","0","2719"
"B03031","ACE686","18,6","3","2720"
"B03031","HER001","0,01","2","2721"
"B03031","HER003","1","5","2722"
"B03031","HER008","0,2","2","2723"
"B03031","VAL103","18,6","0","2724"
"B03032","ACE195","100","3","2725"
"B03032","ACE443","20","3","2726"
"B03032","ACE686","71","3","2727"
"B03032","CER031","1","2","2728"
"B03032","HER001","0,5","2","2729"
"B03032","HER003","15","5","2730"
"B03032","HER008","0,3","2","2731"
"B03032","PIN037","0,2","5","2732"
"B03033","ACE195","50","3","2733"
"B03033","ACE443","10","3","2734"
"B03033","ACE686","36","3","2735"
"B03033","CER031","1","2","2736"
"B03033","HER001","0,256","2","2737"
"B03033","HER003","7,5","5","2738"
"B03033","HER008","0,15","2","2739"
"B03033","PIN016","0,1","5","2740"
"B03033","PIN035","0,25","5","2741"
"B03034","ACE073","1","3","2742"
"B03034","HER001","0,01","2","2743"
"B03034","HER008","0,1","2","2744"
"B03034","HER071","0,02","5","2745"
"B03034","PIN081","0,04","5","2746"
"B03034","VAL141","1","0","2747"
"B03035","ESP075","2","0","2748"
"B03035","ESP124","1","0","2749"
"B03036","ESP075","2","0","2750"
"B03036","ESP125","1","0","2751"
"B03037","ESP075","2","0","2752"
"B03037","ESP126","1","0","2753"
"B03038","ACE026","1","5","2754"
"B03038","ACE197","2","3","2755"
"B03038","HER008","0,07","2","2756"
"B03038","HER013","0,1","5","2757"
"B03038","HER039","0,07","0","2758"
"B03038","VAL103","3,4","0","2759"
"B03039","ACE197","3","3","2760"
"B03039","ACE641","4","5","2761"
"B03039","ACE895","4","5","2762"
"B03039","HER008","0,07","2","2763"
"B03039","HER013","0,1","5","2764"
"B03039","HER039","0,07","0","2765"
"B03039","VAL103","4","0","2766"
"B03040","ACE198","4","3","2767"
"B03040","ACE472","0,01","0","2768"
"B03040","HER001","0,05","2","2769"
"B03040","HER003","0,05","5","2770"
"B03040","HER008","0,05","2","2771"
"B03040","VAL103","4","0","2772"
"B03041","ACE764","1","5","2773"
"B03041","HER001","0,01","2","2774"
"B03041","HER008","0,01","2","2775"
"B03041","HER052","0,01","5","2776"
"B03042","ACE062","1","5","2777"
"B03042","ACE236","1","4","2778"
"B03042","HER001","0,06","2","2779"
"B03042","HER003","0,018","5","2780"
"B03042","HER008","0,05","2","2781"
"B04001","AGR001","0,025","5","2782"
"B04001","AGR018","0,03","5","2783"
"B04001","CEM041","0,15","5","2784"
"B04002","ASF005","0,06","5","2785"
"B04002","ASF016","1","10","2786"
"B04002","ASF023","0,1","5","2787"
"B04003","AGR001","0,01","5","2788"
"B04003","AGR018","0,01","5","2789"
"B04003","CEM041","0,48","5","2790"
"B04003","CON211","0,01","2","2791"
"B04004","PIN215","0,06","5","2792"
"B04005","C-0011","0,03","5","2793"
"B04006","ASF023","0,1","5","2794"
"B04006","ASF145","1","10","2795"
"B05001","AGR001","0,004","5","2796"
"B05001","AGR018","0,08","5","2797"
"B05001","CEM041","0,12","5","2798"
"B05002","C-0011","0,05","5","2799"
"B05002","CEM041","0,05","5","2800"
"B05004","MT960","0,1","5","2801"
"B05005","MT960","0,15","5","2802"
"B05006","ACA148","0,75","5","2803"
"B05006","AGR001","0,05","5","2804"
"B05006","AGR002","0,1","5","2805"
"B05006","CEM041","4,5","5","2806"
"B05007","ACA148","0,75","5","2807"
"B05007","AGR001","0,05","5","2808"
"B05007","AGR002","0,09","5","2809"
"B05007","CEM041","2,25","5","2810"
"B05007","VAL006","2,25","0","2811"
"B05008","AGR001","0,007","5","2812"
"B05008","AGR002","0,01","5","2813"
"B05008","AGR011","0,06","5","2814"
"B05008","CEM001","0,17","5","2815"
"B05008","CEM041","0,2","5","2816"
"B05008","VAL006","0,17","0","2817"
"B05008","VAL021","0,07","0","2818"
"B05009","AGR001","0,015","5","2819"
"B05009","AGR056","0,053","5","2820"
"B05009","CEM002","0,15","5","2821"
"B05009","CEM041","0,2","5","2822"
"B05009","VAL161","1","0","2823"
"B05010","AGR001","0,015","5","2824"
"B05010","AGR056","0,06","5","2825"
"B05010","CEM001","0,2","5","2826"
"B05010","CEM041","0,25","5","2827"
"B05010","VAL006","0,25","0","2828"
"B05010","VAL055","0,2","0","2829"
"B05010","VAL134","6","0","2830"
"B05011","AGR001","0,01","5","2831"
"B05011","AGR002","0,02","5","2832"
"B05011","ARC073","17","5","2833"
"B05011","CEM002","0,022","5","2834"
"B05011","CEM041","0,22","5","2835"
"B05012","AGR001","0,012","5","2836"
"B05012","AGR002","0,02","5","2837"
"B05012","ARC076","17","5","2838"
"B05012","CEM002","0,03","5","2839"
"B05012","CEM041","0,25","5","2840"
"B05013","AGR001","0,01","5","2841"
"B05013","AGR002","0,04","5","2842"
"B05013","CEM041","0,04","5","2843"
"B05013","COC045","13","5","2844"
"B05014","AGR001","0,014","5","2845"
"B05014","AGR002","0,05","5","2846"
"B05014","CEM041","0,05","5","2847"
"B05014","COC001","13","5","2848"
"B05015","AGR001","0,016","5","2849"
"B05015","AGR002","0,05","5","2850"
"B05015","C-0014","0,06","3","2851"
"B05015","CEM041","0,063","5","2852"
"B05015","COC045","13","5","2853"
"B05015","VAL022","13","0","2854"
"B05015","VAL023","0,063","0","2855"
"B05016","COC001","13","5","2856"
"B05016","CON215","0,156","5","2857"
"B05016","VAL022","13","0","2858"
"B05016","VAL066","0,156","0","2859"
"B05017","AGR002","0,04","5","2860"
"B05017","AGR071","0,6","5","2861"
"B05017","ARC018","1","5","2862"
"B05017","CEM002","0,05","5","2863"
"B05017","CEM005","0,2","5","2864"
"B05017","CEM041","0,34","5","2865"
"B05017","REC011","0,15","5","2866"
"B05017","VAL051","1","0","2867"
"B05018","AGR001","0,007","5","2868"
"B05018","AGR002","0,01","5","2869"
"B05018","AGR011","0,06","5","2870"
"B05018","CEM001","0,17","5","2871"
"B05018","CEM041","0,17","5","2872"
"B05018","CON092","0,01","2","2873"
"B05018","VAL006","0,17","0","2874"
"B05018","VAL021","0,07","0","2875"
"B05019","AGR001","0,005","5","2876"
"B05019","AGR002","0,012","5","2877"
"B05019","ARC057","30","5","2878"
"B05019","CEM041","0,2","5","2879"
"B05020","ACE623","1","2","2880"
"B05020","ACE631","0,1","5","2881"
"B05021","ACE631","0,1","5","2882"
"B05021","ACE668","1","5","2883"
"B06003","ACA118","1","5","2884"
"B06003","REC011","0,05","5","2885"
"B06004","AGR001","0,01","5","2886"
"B06004","C-0030","0,02","3","2887"
"B06004","CEM005","0,02","5","2888"
"B06004","REC011","0,3","5","2889"
"B06004","VAL006","0,07","0","2890"
"B06005","AGR001","0,0058","5","2891"
"B06005","CEM005","0,07","5","2892"
"B06005","MT1823","0,2","3","2893"
"B06005","REC011","0,3","5","2894"
"B06006","AGR001","0,0058","5","2895"
"B06006","CEM005","0,07","5","2896"
"B06006","MT1823","0,2","3","2897"
"B06006","REC011","0,3","5","2898"
"B06008","REC051","0,05","5","2899"
"B06009","ACA127","0,2","0","2900"
"B06009","LAM025","1","0","2901"
"B06010","ACA002","0,2","5","2902"
"B06010","ACA018","0,24","5","2903"
"B06010","ACA035","0,8","5","2904"
"B06010","ACA042","0,4","5","2905"
"B06010","ACA120","0,09","5","2906"
"B06010","ACA121","3","5","2907"
"B06010","ACA124","0,02","5","2908"
"B06010","ACE506","0,0324","5","2909"
"B06011","REC011","0,05","5","2910"
"B06012","PIN194","0,1","5","2911"
"B06013","REC042","1","5","2912"
"B06013","REC043","0,08","5","2913"
"B06013","VAL016","1","0","2914"
"B06014","ACA077","1","5","2915"
"B06014","REC011","0,05","5","2916"
"B06015","AGR018","0,0335","5","2917"
"B06015","ARC010","1,05","5","2918"
"B06015","CEM005","0,07","5","2919"
"B06015","CEM041","0,294","5","2920"
"B06015","REC011","0,15","5","2921"
"B06015","VAL006","0,514","0","2922"
"B06015","VAL021","0,0335","0","2923"
"B06015","VAL056","1","0","2924"
"B06016","ACA099","1","5","2925"
"B06017","ACA101","1","5","2926"
"B06018","AGR001","0,0067","5","2927"
"B06018","AGR018","0,0383","5","2928"
"B06018","CEM002","0,02","5","2929"
"B06018","CEM041","0,336","5","2930"
"B06018","MT116","1","5","2931"
"B06019","C-0012","0,03","3","2932"
"B06019","C-0013","0,01","5","2933"
"B06020","AGR002","0,02","5","2934"
"B06020","AGR071","0,25","5","2935"
"B06020","CEM002","0,02","5","2936"
"B06020","CEM005","0,08","5","2937"
"B06020","CEM041","0,14","5","2938"
"B06020","REC011","0,06","5","2939"
"B06021","ACE631","0,03","5","2940"
"B06021","LAM024","0,75","5","2941"
"B06021","LAM055","1","5","2942"
