"CodPar","CodIns","CanIns","Deprec","Contad"
"ARB001","ALB013","3","1","3308"
"ARB001","ARB012","3","0,011","3309"
"ARB001","COP074","1","0,003956","3310"
"ARB001","MOV002","3","0,02","3311"
"ARB002","ALB013","2","1","3312"
"ARB002","ALB094","1","0,02","3313"
"ARB002","ARB001","1","1","3314"
"ARB002","COP074","0,25","0,003956","3315"
"ARB003","ARB004","0,25","1","3316"
"ARB003","COP052","0,25","0,002532","3317"
"ARB003","ESP012","0,25","1","3318"
"ARB003","SUB013","1","1","3319"
"ARB004","ARB006","1","1","3320"
"ARB004","ARB007","1","0,01","3321"
"ARB004","SUB013","1","1","3322"
"ARB004","VEH025","0,5","0,003","3323"
"ARB005","ARB004","1","1","3324"
"ARB005","ARB007","1","0,01","3325"
"ARB005","ARB010","1","1","3326"
"ARB005","COP074","1","0,003956","3327"
"ARB005","SUB059","0,5","1","3328"
"ARB006","ARB004","1","1","3329"
"ARB006","ARB008","1","1","3330"
"ARB006","ARB010","1","1","3331"
"ARB006","COP052","1","0,002532","3332"
"ARB006","SUB059","1","1","3333"
"ARB007","ARB005","1","1","3334"
"ARB007","ARB006","1","1","3335"
"ARB007","COP052","1","0,002532","3336"
"ARB007","SUB059","1","1","3337"
"ARB008","ARB004","1","1","3338"
"ARB008","ARB005","2","1","3339"
"ARB008","LIM005","2","0,011","3340"
"ARB008","VEH027","1","0,00399","3341"
"ARB009","ARB004","1","1","3342"
"ARB009","ARB006","1","1","3343"
"ARB009","ARB010","1","1","3344"
"ARB009","LIM005","2","0,011","3345"
"ARB009","VEH027","1","0,00399","3346"
"ARB010","ALB053","1","0,02","3347"
"ARB010","ARB006","1","1","3348"
"ARB010","ARB008","1","1","3349"
"ARB010","COP075","1","0,003479","3350"
"ARB010","LIM005","2","0,011","3351"
"ARB010","SUB064","0,5","1","3352"
"ARB011","ARB006","1","1","3353"
"ARB011","ARB008","1","1","3354"
"ARB011","ARB010","2","1","3355"
"ARB011","COP075","1","0,003479","3356"
"ARB011","COP078","0,2","0,002529","3357"
"ARB011","LIM005","2","0,011","3358"
"ARB011","SUB006","2","0,045","3359"
"ARB011","SUB064","0,5","1","3360"
"ARB012","ALB053","2","0,02","3361"
"ARB012","ARB004","1","1","3362"
